group,subgroup,amount,period,month
Промышленность,Всего,7325437,9,Октябрь
Промышленность,горнодобывающая промышленность,9952036,9,Октябрь
Промышленность,добыча топливно-энергетических полезных ископаемых,11818909,9,Октябрь
Промышленность,"добыча угля, лигнита и торфа",6001853,9,Октябрь
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",7819293,9,Октябрь
Промышленность,обрабатывающая промышленность,7253424,9,Октябрь
Промышленность,"производство пищевых продуктов, включая напитки, и табака",7329078,9,Октябрь
Промышленность,текстильное и швейное производство,5121596,9,Октябрь
Промышленность,"производство кожи, изделий из кожи и производство обуви",5301546,9,Октябрь
Промышленность,обработка древесины и производство изделий из дерева,5929899,9,Октябрь
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,7129194,9,Октябрь
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5914072,9,Октябрь
Промышленность,издательская деятельность,9183006,9,Октябрь
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,8131774,9,Октябрь
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",11820833,9,Октябрь
Промышленность,химическое производство,11483882,9,Октябрь
Промышленность,производство резиновых и пластмассовых изделий,7352139,9,Октябрь
Промышленность,производство прочих неметаллических минеральных продуктов,6568265,9,Октябрь
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6531040,9,Октябрь
Промышленность,металлургическое производство и производство готовых металлических изделий,7307490,9,Октябрь
Промышленность,производство машин и оборудования,6902336,9,Октябрь
Промышленность,"производство электрооборудования, электронного и оптического оборудования",7099669,9,Октябрь
Промышленность,производство офисного оборудования и вычислительной техники,8495755,9,Октябрь
Промышленность,производство электрических машин и электрооборудования,6575565,9,Октябрь
Промышленность,"производство аппаратуры для радио, телевидения и связи",7588855,9,Октябрь
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7789253,9,Октябрь
Промышленность,производство транспортных средств и оборудования,7452978,9,Октябрь
Промышленность,"производство автомобилей, прицепов и полуприцепов",7082956,9,Октябрь
Промышленность,производство прочих транспортных средств,9143016,9,Октябрь
Промышленность,прочие отрасли промышленности,6328594,9,Октябрь
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",6111811,9,Октябрь
Промышленность,обработка вторичного сырья,8054579,9,Октябрь
Промышленность,"производство и распределение электроэнергии, газа и воды",7422314,9,Октябрь
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6085882,9,Октябрь
Промышленность,теплоснабжение,5353912,9,Октябрь
Промышленность,"сбор, очистка и распределение воды",6208008,9,Октябрь
Строительство,Строительство,8263455,9,Октябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,6605247,9,Октябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8735980,9,Октябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8941966,9,Октябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5943856,9,Октябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4749956,9,Октябрь
Гостиницы и рестораны,Гостиницы и рестораны,5282689,9,Октябрь
Транспорт и связь,Всего,7749878,9,Октябрь
Транспорт и связь,деятельность сухопутного транспорта,7552229,9,Октябрь
Транспорт и связь,деятельность железнодорожного транспорта,7682063,9,Октябрь
Транспорт и связь,деятельность прочего сухопутного транспорта,7103074,9,Октябрь
Транспорт и связь,деятельность водного транспорта,4642289,9,Октябрь
Транспорт и связь,деятельность воздушного транспорта,15870815,9,Октябрь
